0	(358, 353)	Lester	Unknown	[294 294 128 239]	[294 294 422 533]
0	(495, 431)	Michael	Unknown	[423 354 144 308]	[423 354 567 662]
0	(639, 312)	Franklin	Unknown	[591 253  97 237]	[591 253 688 490]
0	(840, 431)	Trevor	Unknown	[773 354 135 309]	[773 354 908 663]
0	(966, 366)	Amanda	Unknown	[913 305 106 244]	[ 913  305 1019  549]
1	(358, 353)	Lester	Unknown	[294 294 128 239]	[294 294 422 533]
1	(494, 432)	Michael	Unknown	[422 356 144 307]	[422 356 566 663]
1	(639, 312)	Franklin	Unknown	[591 253  97 237]	[591 253 688 490]
1	(840, 432)	Trevor	Unknown	[773 355 135 308]	[773 355 908 663]
1	(966, 365)	Amanda	Unknown	[913 303 106 249]	[ 913  303 1019  552]
2	(358, 353)	Lester	Unknown	[294 294 128 239]	[294 294 422 533]
2	(494, 432)	Michael	Unknown	[422 356 144 306]	[422 356 566 662]
2	(640, 312)	Franklin	Unknown	[592 253  96 237]	[592 253 688 490]
2	(840, 432)	Trevor	Unknown	[773 355 135 309]	[773 355 908 664]
2	(966, 365)	Amanda	Unknown	[915 303 103 249]	[ 915  303 1018  552]
3	(358, 353)	Lester	Unknown	[294 294 128 239]	[294 294 422 533]
3	(493, 432)	Michael	Unknown	[421 356 145 306]	[421 356 566 662]
3	(640, 312)	Franklin	Unknown	[592 253  96 237]	[592 253 688 490]
3	(840, 432)	Trevor	Unknown	[772 356 136 307]	[772 356 908 663]
3	(969, 365)	Amanda	Unknown	[920 303  99 249]	[ 920  303 1019  552]
4	(358, 353)	Lester	Unknown	[294 294 128 239]	[294 294 422 533]
4	(495, 431)	Michael	Unknown	[423 355 144 307]	[423 355 567 662]
4	(640, 312)	Franklin	Unknown	[592 253  96 237]	[592 253 688 490]
4	(840, 432)	Trevor	Unknown	[772 356 137 307]	[772 356 909 663]
4	(974, 365)	Amanda	Unknown	[927 303  94 250]	[ 927  303 1021  553]
5	(358, 354)	Lester	Unknown	[294 295 128 238]	[294 295 422 533]
5	(494, 432)	Michael	Unknown	[422 356 144 307]	[422 356 566 663]
5	(640, 313)	Franklin	Unknown	[593 254  95 236]	[593 254 688 490]
5	(840, 432)	Trevor	Unknown	[772 356 136 307]	[772 356 908 663]
5	(977, 365)	Amanda	Unknown	[930 303  94 250]	[ 930  303 1024  553]
6	(358, 354)	Lester	Unknown	[294 295 128 238]	[294 295 422 533]
6	(493, 432)	Michael	Unknown	[422 356 143 307]	[422 356 565 663]
6	(640, 313)	Franklin	Unknown	[593 254  95 236]	[593 254 688 490]
6	(840, 432)	Trevor	Unknown	[772 356 137 307]	[772 356 909 663]
6	(978, 366)	Amanda	Unknown	[929 304  98 248]	[ 929  304 1027  552]
7	(358, 354)	Lester	Unknown	[294 295 128 238]	[294 295 422 533]
7	(494, 432)	Michael	Unknown	[422 356 144 307]	[422 356 566 663]
7	(640, 313)	Franklin	Unknown	[593 254  95 236]	[593 254 688 490]
7	(840, 432)	Trevor	Unknown	[771 355 138 308]	[771 355 909 663]
7	(978, 366)	Amanda	Unknown	[929 304  99 248]	[ 929  304 1028  552]
8	(358, 353)	Lester	Unknown	[294 294 128 239]	[294 294 422 533]
8	(494, 431)	Michael	Unknown	[423 355 143 307]	[423 355 566 662]
8	(640, 313)	Franklin	Unknown	[593 254  95 236]	[593 254 688 490]
8	(840, 432)	Trevor	Unknown	[771 356 138 307]	[771 356 909 663]
8	(979, 366)	Amanda	Unknown	[930 304  98 248]	[ 930  304 1028  552]
9	(358, 353)	Lester	Unknown	[294 293 128 240]	[294 293 422 533]
9	(494, 431)	Michael	Unknown	[423 354 143 308]	[423 354 566 662]
9	(641, 313)	Franklin	Unknown	[593 255  96 235]	[593 255 689 490]
9	(840, 432)	Trevor	Unknown	[771 356 138 307]	[771 356 909 663]
9	(979, 366)	Amanda	Unknown	[930 304  98 248]	[ 930  304 1028  552]
10	(358, 353)	Lester	Unknown	[294 293 128 240]	[294 293 422 533]
10	(494, 431)	Michael	Unknown	[423 354 143 308]	[423 354 566 662]
10	(641, 313)	Franklin	Unknown	[593 255  96 235]	[593 255 689 490]
10	(840, 433)	Trevor	Unknown	[771 356 138 308]	[771 356 909 664]
10	(979, 366)	Amanda	Unknown	[930 304  98 248]	[ 930  304 1028  552]
11	(358, 353)	Lester	Unknown	[294 293 128 240]	[294 293 422 533]
11	(494, 431)	Michael	Unknown	[422 354 144 308]	[422 354 566 662]
11	(640, 313)	Franklin	Unknown	[592 255  97 235]	[592 255 689 490]
11	(840, 433)	Trevor	Unknown	[771 356 138 308]	[771 356 909 664]
11	(979, 365)	Amanda	Unknown	[930 303  98 249]	[ 930  303 1028  552]
12	(358, 353)	Lester	Unknown	[294 293 128 240]	[294 293 422 533]
12	(494, 431)	Michael	Unknown	[423 354 143 308]	[423 354 566 662]
12	(640, 313)	Franklin	Unknown	[592 255  97 235]	[592 255 689 490]
12	(839, 432)	Trevor	Unknown	[771 356 137 307]	[771 356 908 663]
12	(979, 365)	Amanda	Unknown	[930 303  98 249]	[ 930  303 1028  552]
13	(358, 353)	Lester	Unknown	[294 293 128 240]	[294 293 422 533]
13	(494, 431)	Michael	Unknown	[423 354 143 308]	[423 354 566 662]
13	(640, 313)	Franklin	Unknown	[592 255  97 235]	[592 255 689 490]
13	(839, 433)	Trevor	Unknown	[771 356 137 308]	[771 356 908 664]
13	(979, 366)	Amanda	Unknown	[930 304  98 248]	[ 930  304 1028  552]
14	(358, 353)	Lester	Unknown	[294 293 128 240]	[294 293 422 533]
14	(495, 431)	Michael	Unknown	[424 354 142 308]	[424 354 566 662]
14	(640, 314)	Franklin	Unknown	[592 255  97 236]	[592 255 689 491]
14	(839, 433)	Trevor	Unknown	[771 356 137 308]	[771 356 908 664]
14	(979, 366)	Amanda	Unknown	[930 304  98 248]	[ 930  304 1028  552]
15	(358, 353)	Lester	Unknown	[294 293 128 240]	[294 293 422 533]
15	(495, 431)	Michael	Unknown	[425 354 141 308]	[425 354 566 662]
15	(641, 314)	Franklin	Unknown	[592 255  98 236]	[592 255 690 491]
15	(839, 432)	Trevor	Unknown	[771 355 136 309]	[771 355 907 664]
15	(979, 366)	Amanda	Unknown	[930 304  98 248]	[ 930  304 1028  552]
16	(358, 353)	Lester	Unknown	[295 294 127 238]	[295 294 422 532]
16	(495, 431)	Michael	Unknown	[425 354 141 308]	[425 354 566 662]
16	(641, 314)	Franklin	Unknown	[592 255  98 236]	[592 255 690 491]
16	(841, 430)	Trevor	Unknown	[776 353 130 308]	[776 353 906 661]
16	(979, 366)	Amanda	Unknown	[930 304  98 248]	[ 930  304 1028  552]
17	(358, 354)	Lester	Unknown	[295 295 127 238]	[295 295 422 533]
17	(495, 431)	Michael	Unknown	[425 354 141 308]	[425 354 566 662]
17	(641, 314)	Franklin	Unknown	[592 255  98 236]	[592 255 690 491]
17	(844, 429)	Trevor	Unknown	[780 352 129 308]	[780 352 909 660]
17	(979, 366)	Amanda	Unknown	[930 304  98 248]	[ 930  304 1028  552]
18	(358, 355)	Lester	Unknown	[294 296 128 237]	[294 296 422 533]
18	(496, 431)	Michael	Unknown	[426 354 140 309]	[426 354 566 663]
18	(641, 313)	Franklin	Unknown	[592 254  98 237]	[592 254 690 491]
18	(848, 429)	Trevor	Unknown	[782 352 132 308]	[782 352 914 660]
18	(979, 366)	Amanda	Unknown	[930 304  98 248]	[ 930  304 1028  552]
19	(358, 355)	Lester	Unknown	[294 296 128 237]	[294 296 422 533]
19	(496, 430)	Michael	Unknown	[426 353 140 310]	[426 353 566 663]
19	(641, 313)	Franklin	Unknown	[592 255  99 235]	[592 255 691 490]
